'Ctnnb1: ', -1.0164, 1.7605, 0.338, -0.2514, -0.8307

'Wnt1: ', -0.816, -0.816, -0.816, 1.1665, 1.2814

'Zic3: ', -0.848, 1.7247, 0.4892, -0.4241, -0.9418

'Pcgf5: ', 0.0143, -0.0415, -1.3599, -0.3521, 1.7392

'Wnt8b: ', 0.3571, -0.942, -0.2195, -0.942, 1.7464

'Bmpr2: ', 1.8162, -0.7191, -0.5292, -0.8935, 0.3256

'Pik3r3: ', 1.8513, 0.1934, -0.6317, -0.4442, -0.9689

'Akt1: ', 0.6095, -1.301, -0.5004, -0.3979, 1.5898

'Rif1: ', -0.1277, 1.5279, 0.3439, -0.1614, -1.5827

'Acvr1c: ', -0.7831, 0.7273, -0.7831, 1.6221, -0.7831

'Wnt5a: ', 0.4029, 1.662, -0.4713, -0.2567, -1.3369

'Wnt2b: ', -1.5991, 0.0883, -0.0259, -0.0233, 1.5601

'Smad2: ', -0.1813, 1.9346, -0.2504, -0.6244, -0.8785

'Nodal: ', 1.7077, 0.3466, -0.8918, -1.0774, -0.0851

'Id3: ', -1.4942, 0.3278, 1.1557, 0.8191, -0.8083

'Inhbc: ', -0.9913, 1.5608, 0.7574, -0.4113, -0.9156

'Wnt4: ', -0.9222, -0.5607, -0.3292, -0.115, 1.9271

'Gsk3b: ', 1.7602, 0.111, -1.3135, -0.214, -0.3437

'Wnt10b: ', 0.5891, -1.5895, -0.4175, 0.0208, 1.3971

'Apc2: ', -1.3303, -0.752, 0.3348, 0.1576, 1.5899

'Bmi1: ', 1.2598, 0.6054, 0.3324, -0.5884, -1.6093

'Pik3ca: ', 1.1788, -0.9337, 0.8098, -1.4011, 0.3461

'Igf1r: ', -0.9507, -0.9575, -0.2626, 0.4712, 1.6995

'Smad1: ', 1.0671, -0.3842, -0.8317, -1.1526, 1.3013

'Wnt9b: ', -0.7562, -0.7562, 0.538, -0.7562, 1.7306

